mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type,Co_cat5,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,14,therapist,0:02:08,"Mm-hmm. So when you, um, when you put in applications or anything like that, the felony con-conviction, whether you know it or not, seems to knock you out of the ballpark. You're not even considered as an applicant?",5,FALSE,,TRUE,complex,TRUE,closed,reflection,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,15,client,0:02:28,"No, I'm not. Um, in situations where I don't know about it, I don't know about, I mean, if I'm not considered because of that, I probably-- Um, you know, that sucks too. Don't get me wrong. I mean, I-I don't- I don't get callbacks a lot because of that issue-",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,16,therapist,0:02:47,"Mm-hmm, mm-hmm.",5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,17,client,0:02:47,"- I'm sure. The ones that really count are-are-are, you know, are kind of just, you know, uh, making me so angry and, you know, kind of spilling over into the rest of my life or the ones that I get face face, especially after a really good interview. And, you know, most of the times, I interview extremely well. And, um, it's, you know, I get the vibe that the job is offered almost halfway through the interview because, you know, they start telling me about what I'll be doing and what I'll be getting.And then, you know, when it comes to sign on the paperwork and I believe in honesty, so I tell them, you know, hey, look, this is what you're gonna find, you know, and, um, try to explain it. It's just-it's almost like night and day.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,18,therapist,0:03:30,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,19,client,0:03:30,"Black and white. It just stops right there. ""I'm sorry. I can't really do much for you. I-- You have to go,"" you know, and it's—",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,20,therapist,0:03:37,"So do you- do you, um, put out there about the felony conviction before you even go for the interview?",5,TRUE,advice,FALSE,,TRUE,closed,therapist_input,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,21,client,0:03:48,"No. I mean, there's different situations, you know. Sometimes they ask and, you know, I'll say something like, you know, ""We'll discuss at interview"". Uh, sometimes, there are situations where if I probably put that, I don't get a callback and those situations I don't know about. You know, but there are also times where I get an interview through, um, you know, uh, uh, some sort of connection or something, or like a buddy of mine or a family member will send me on an interview. You know, I don't have to fill it out- fill out an application for that. They just usually, you know, give you the interview. And at the end-",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,22,therapist,0:04:22,Seems like it's a done deal.,5,FALSE,,TRUE,simple,FALSE,,reflection,,ref,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,23,client,0:04:23,Yeah. It seems like it's a done deal. You just have to go through the motion of having the interview. And then-,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,24,therapist,0:04:27,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,ref,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,25,client,0:04:27,"-when I go through the interview and it goes well, and they're like, ""Okay, well, you know, I think we can do something"" and then, ""Here, sign this, sign that,"" and the other thing. And it's like, but we just had a great, you know, I mean, I qualify. Like what does that have to-- Seven years ago, six years ago, what does it have to do with anything? Now, especially because, you know, the type of conviction, it wasn't a non- it wasn't a violent conviction. It's not like I'm a danger to the staff around me. It's not like it's a, you know, a theft type of thing. It was, you know, it was a possession, you know what I mean?",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,26,therapist,0:04:59,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,27,client,0:04:59,And,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,28,therapist,0:05:00,So you didn't hurt anybody.,5,FALSE,,TRUE,simple,FALSE,,reflection,,ref,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,29,client,0:05:02,"No, I didn't.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,30,therapist,0:05:03,"You didn't hurt anything, right?",5,FALSE,,TRUE,simple,TRUE,closed,reflection,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,31,client,0:05:05,It's really frustrating because-,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,32,therapist,0:05:06,Yeah.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,33,client,0:05:07,"-it's almost like I-I don't wanna give up, but it's like, I'm not given any other choice, you know?",5,,,,,,,,sustain,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,34,therapist,0:05:14,"Yeah, 'cause you're-you're, especially with going back to school and having done all that footwork and stuff. I mean, you really have something to offer somebody.",5,FALSE,,TRUE,complex,FALSE,,reflection,,ref,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,35,client,0:05:24,"I do, yeah.",5,,,,,,,,change,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,36,therapist,0:05:25,"Yeah. And, um, and at the time the big crisis was actually maybe prison and all the crisis around the arrest and-and, uh, you know, it's like you're a leper and the leper colony.",5,FALSE,,TRUE,complex,FALSE,,reflection,,ref,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,37,client,0:05:39,Mm-hmm.,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,38,therapist,0:05:40,"Um, have there been any times when you've started the interview with that conversation so that you don't even have to go through the whole thing and then get rejected?",5,TRUE,advice,FALSE,,TRUE,closed,therapist_input,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,39,client,0:05:57,"Not that I can think of, no.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,40,therapist,0:05:58,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,41,client,0:05:59,I think—,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,42,therapist,0:05:59,What do you think would happen if you did that?,5,TRUE,options,FALSE,,TRUE,open,therapist_input,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,43,client,0:06:03,Probably get booted out right away-,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,44,therapist,0:06:04,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,45,client,0:06:05,#NAME?,5,,,,,,,,sustain,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,46,therapist,0:06:07,"Would that be, um, what would they be like versus getting through this great interview, knowing you're-you're good for the job and all that kind of stuff, and then they boot you out?",5,TRUE,advice,FALSE,,TRUE,open,therapist_input,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,47,client,0:06:22,"Well, it's-it's sucks either way. You know what I mean?",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,48,therapist,0:06:23,"Mm-hmm. It's, uh, I mean the lesser of two evils is that what we're getting at-",5,TRUE,advice,FALSE,,FALSE,,therapist_input,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,49,client,0:06:30,Mm-hmm.,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,50,client,0:06:30,"-you know what I mean? If it's gonna make things more efficient like as if-if you're what you're trying to say is if that's something that I could do and then if they get past it, then now I know that there's an actual intention by the hiring people to hire me.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,51,therapist,0:06:50,"Right. If that's a deal-breaker and you both know it from the very beginning, I'm wondering if then really the interview is really something else. I mean, whether they get the job would truly be based on the interview and not-not your criminal record.",5,TRUE,advice,FALSE,,FALSE,,therapist_input,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,52,client,0:07:07,"Yeah, I think as far as maybe efficiency, you know, weeding out the things, not wasting my time, you know, but I had to tell you something, a lot of the people that don't care about that type of thing-",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,53,therapist,0:07:18,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,54,client,0:07:19,"-are not the sort of jobs that I really wanna be doing. You know what I mean? Um, I don't know, it's just really frustrating.",5,,,,,,,,sustain,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,55,therapist,0:07:28,"Not like you're working for the government or for a bank or, you know, the FBI where- those are not things you're applying for. They're jobs where you would wonder why a-a non-violent felony would even--",5,FALSE,,TRUE,complex,FALSE,,reflection,,ref,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,56,client,0:07:45,Be an issue.,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,57,therapist,0:07:46,Right.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,58,client,0:07:47,"Right, and then the other thing is anybody that I might tell that to-",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,59,therapist,0:07:52,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,60,client,0:07:53,-that doesn't care-,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,61,therapist,0:07:53,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,62,client,0:07:54,#NAME?,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,63,therapist,0:08:00,"Mm-hmm, you didn't go to college for that.",5,FALSE,,TRUE,complex,FALSE,,reflection,,ref,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,64,client,0:08:02,Right.,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,65,therapist,0:08:03,Mm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,66,client,0:08:03,"Do you know what I mean? If I want to work at a moving company and I tell them off the bat, you know, from the gate, I tell them I have a felony conviction, just so you know before the interview and they don't really mind. I mean, that's great, you know, but at the same time, I don't- I'm not looking to be a mover or-",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,67,therapist,0:08:18,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,68,client,0:08:19,"-a burger flipper or something like that. Not that there's anything wrong with it, but I feel like I have a little bit more to offer-",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,69,therapist,0:08:24,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,70,client,0:08:25,"-you know, and, um, I don't know, it's a really, it's-it's like being caught between a rock and a hard place.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,71,therapist,0:08:31,"Mm-hmm. So, what have you looked into about, um, you know, advocacy in that area or expungement or anything like that?",5,TRUE,options,FALSE,,TRUE,open,therapist_input,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,72,client,0:08:42,"I have done, and my eyes have, you know, just become like mush after all the reading I've done on this situation.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,73,therapist,0:08:52,What did you find out?,5,FALSE,,FALSE,,TRUE,open,question,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,74,client,0:08:53,"I found out that I have the type of, um, felony that's expungable, I don't even have the type that's sealable. I have apparently the type that has to go on the governor's desk next to death row, you know, inmates or the candidates for, um, a gov- a governor's, uh, pardon. I-- That's what it all boils down to is that I have a class one felony-",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,75,therapist,0:09:24,Uh-huh.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,76,client,0:09:24,"-that needs to be, if any, you know, options, the only option I have is for, um, governor's clemency and I can't figure out why because it's-it's, I mean, I just, I maybe there is a loophole somewhere, I don't know.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,77,therapist,0:09:43,"I-I didn't know that. So I, you know, I know a little bit about it, um, and not, yeah. So that's-that's very interesting. Oh, what about advocacy groups?",5,TRUE,options,FALSE,,TRUE,closed,therapist_input,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,78,client,0:09:54,"I've looked into, um, a fe- um, I've looked into a few groups that are supposedly helping convicted felons get-",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,79,therapist,0:10:06,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,80,client,0:10:06,#NAME?,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,81,therapist,0:10:07,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,82,client,0:10:08,"Um, again, the-the only-- I mean, I think what I saw was a whole bunch of, you know, dead end jobs.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,83,therapist,0:10:18,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,84,client,0:10:19,"And the other thing that I saw was that it was very politically charged. You know, I didn't think that, um, I was, uh, you know, allowed to kind of get an interview right away with one of those counselors that they offer. Um, I-- it just didn't seem like a type of place that was willing to help, you know. And-and, uh, I saw that there was a lot of, um, I wouldn't say racism but I would say a little bit of racial favor, I suppose. And, uh, I found it really hard to get in and to get an interview with a counselor to match me up with a job. Um, I think that those-those types of groups are cool if they work. I just haven't had any luck with, um- at working with- through that group.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,85,therapist,0:11:04,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,86,client,0:11:04,You know?,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,87,therapist,0:11:04,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,88,client,0:11:05,"Um, you know, I don't know. I don't know if there's anything else out there.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,89,therapist,0:11:11,Mm-hmm. So you're-you're Middle Eastern. So you wonder-- I-I bet you've had experiences where you really have experienced some absolute racism and prejudice because of that.,5,FALSE,,TRUE,complex,FALSE,,reflection,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,90,client,0:11:26,Mm-hmm.,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,91,therapist,0:11:27,"And then, um, you walk into these places and they might just be almost storefront-",5,FALSE,,TRUE,complex,FALSE,,reflection,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,92,client,0:11:34,Mm-hmm.,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,93,therapist,0:11:34,#NAME?,5,TRUE,information,TRUE,complex,FALSE,,therapist_input,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,94,client,0:11:42,"Right. It's-it's, uh-- There is a lot stacked up against me.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,95,therapist,0:11:46,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,96,client,0:11:46,Let's just put it like that.,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,97,therapist,0:11:48,Mm-hmm. Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,98,client,0:11:48,"You know, uh, but that isn't—",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,99,therapist,0:11:51,What do you have going for you?,5,FALSE,,FALSE,,TRUE,open,question,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,100,client,0:11:53,"Well, that's what-- yeah. That's-- I mean, uh, I'm able to, um-- I'm able to carry a conversation.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,101,therapist,0:12:03,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,102,client,0:12:04,"So at some point, I would imagine that maybe I strike up conversation with the right person-",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,103,therapist,0:12:10,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,104,client,0:12:10,"-that would probably want to hire me regardless of that sort of thing. Um, I think that at the this point in time, that it doesn't really matter what degree you have. I don't believe that it matters where you went to school. I think it's all about who you know. You know, we live in a very politically charged city. And I think that even if we didn't live in a politically charged city, at this point, jobs are so scarce that people who know people who know people are the ones that are ending up, um, at work-",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,105,therapist,0:12:40,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,106,client,0:12:40,"-and getting jobs. And I think that, um, if I continue to, you know, go to school and, uh, you know, uh, get time from that felony, you know. So it's been seven years now and—",5,,,,,,,,change,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,107,therapist,0:12:55,It's a long time.,5,FALSE,,TRUE,simple,FALSE,,reflection,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,108,client,0:12:55,"Yeah. And at some point, I probably don't even have to report it, you know, and I have that going for me. It's been seven years. I have the fact that I'm, you know, uh, good at, um, interaction with people, that's good.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,109,therapist,0:13:07,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,110,client,0:13:07,"You know, um, I've been clean from that sort of lifestyle for that long so that's-that's-that's up for me, you know, that's-that's good. Um—",5,,,,,,,,change,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,111,therapist,0:13:17,And you can- you can prove that and document that.,5,FALSE,,TRUE,simple,FALSE,,reflection,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,112,client,0:13:20,Yeah.,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,113,therapist,0:13:20,Yeah. A lot of folks can't.,5,TRUE,information,FALSE,,FALSE,,therapist_input,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,114,client,0:13:23,They don't.,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,115,therapist,0:13:23,"Yeah. And you've been going to school. I mean, all-all your movement is in this really positive, highly motivated way. And, um- and I think your-your thoughts and ideas about the fact that one day a conversation will- you'll strike up with somebody and it will happen to be with somebody who works for a company that perhaps does not have a policy against hiring people with felony convictions.",5,TRUE,advice,TRUE,simple,FALSE,,therapist_input,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,116,client,0:13:54,"Yeah. Well, that's my hope.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,117,therapist,0:13:55,It's individual. Yeah.,5,FALSE,,TRUE,simple,FALSE,,reflection,,ref,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,118,client,0:13:56,Yeah. That's my hope.,5,,,,,,,,neutral,,
