mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type,Co_cat5,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,45,client,0:03:36,"- you know, I'm not gonna be so narrow-minded as to say for sure that, you know, they're entirely wrong 'cause there's a big group of them, you know? And they do care, so obviously, there's something there that I might have overlooked. But on the other hand, I'm sort of like, ""Well, was it that bad?"" And you know, ""Was that- was that really necessary?"" But I, you know, I thought I'd give them the benefit of the doubt and-",8,,,,,,,,change,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,46,therapist,0:04:04,Yeah.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,47,client,0:04:05,#NAME?,8,,,,,,,,change,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,48,therapist,0:04:06,"Because they care about you and-and you respect what they say, and you're wondering whether something about what they're saying may be right, but let's check that out a bit?",8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,49,client,0:04:14,"Yeah, pretty right.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,50,therapist,0:04:15,Alright.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,51,client,0:04:16,Yeah.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,52,therapist,0:04:17,"Well, let's do some checking out.",8,TRUE,information,FALSE,,FALSE,,therapist_input,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,53,client,0:04:18,"Okay, cool.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,54,therapist,0:04:19,"So tell me a little bit about what you're doing, what is- what is the concern that they are raising.",8,TRUE,information,FALSE,,FALSE,,therapist_input,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,55,client,0:04:26,"Um, dr-drugs, I guess.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,56,therapist,0:04:33,Mm-hmm.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,57,client,0:04:36,"Mm, yeah. Sort of kind of do a bit of P now and again-",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,58,therapist,0:04:46,Alright.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,59,client,0:04:46,#NAME?,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,60,therapist,0:05:00,Okay.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,61,client,0:05:00,Yeah.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,62,therapist,0:05:01,"Tell me a little bit about what now and again means, and-and-and how often.",8,FALSE,,FALSE,,TRUE,open,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,63,client,0:05:08,"Um, a couple of times a week maybe.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,64,therapist,0:05:14,"Is this- is this with, uh, with the drug?",8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,65,client,0:05:17,"Yeah, yeah.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,66,therapist,0:05:17,This is meth you're talking about? A couple of times a week?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,67,client,0:05:20,"Mm-hmm, yeah. Yeah. So I guess when I put it that way, it does sound quite a lot, but it doesn't feel a lot, you know? If you know what I mean?",8,,,,,,,,change,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,68,therapist,0:05:37,"Well, maybe, we c-- we can check that out to see whether-whether it's a lot or-- But maybe also importantly to-to discuss with you what the effects are and-and-and what your concerns are about it. But help me to understand a little bit more of what it's like for you. Tell me- tell me what are the things about your, uh, use of meth that you- that you've liked that you found good for you?",8,FALSE,,FALSE,,TRUE,open,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,69,client,0:06:01,"Right. Um, I suppose it's kind of hand-in-hand with just hanging out with, sort of, some new scene that I've-- Like, um, I moved to Auckland maybe three years ago.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,70,therapist,0:06:23,Mm-hmm.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,71,client,0:06:25,"And, um, I still live in Palmy and, so as you can imagine, it's sort of a bit different down there. And, um, kind of just when I first got here I was sorta introduced a little bit to, um, like do you know Family Bar on-on [unintelligible 00:06:49]?",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,72,therapist,0:06:49,"I know Family Bar, yes.",8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,73,client,0:06:50,"Yeah. It's that sort of- that sorta scene, that kind of, um, gay scene, I guess. And, like, it's not something I'd really thought about before and-- But then kinda hung out there and just met these people that were sort of like you don't really get there much Palmy. Well, I mean I suppose you do, but they're not-- You know, in Auckland bars like that you can just-- Uh, you can just be it out in the open, you know, and I suppose in Palmy you can't as easily. Um, so just to arrive and see that and kind of meet these people that were just really friendly, you know, and-and not judge me into it. I don't know. You know, Palmy often is they're sort of like, ""Oh, you've gotta own a car, and soap it up, and drive up and down the Main Street,"" and I just couldn't give a shit about that, you know, so. Or play rugby and, you know, that didn't interest me at all and sorta come here and have people, you know, talk about interesting stuff and have a good time. I just want to go out and dance and stuff like that. Um, that was quite cool for me to know that that existed because I hadn't seen that before and-and I suppose there's a lot of that that goes on there, you know?",8,,,,,,,,sustain,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,74,client,0:08:15,"It's quite a heavy party scene most weekends and stuff. So it kind of goes hand in hand with that really, and just, you know, I guess when I have-have a slight-- I don't know, you just feel really good, I guess. Just feel, like, happy, and excited, and just to be surrounded by people that, you know, really care about you, and love you and-- Coming from a place where y-you didn't-- don't get that as much, it's just really cool, you know, to-to be able to go, ""Okay, on this day I can take this."" And it's just that instant, like, ""I know- I know I'll feel good."" I guess that's part of it.",8,,,,,,,,sustain,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,75,therapist,0:09:10,"So Auckland, coming to Auckland from Palmerston for you was-was like taking charge of something that you were going to look to make something different in your life?",8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,76,client,0:09:22,"Yeah, in-in a way. Although I wouldn't have been conscious of that really. I just sort of discovered it here. It's not like I came to Auckland looking for that kinda-",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,77,therapist,0:09:34,Right.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,78,client,0:09:35,#NAME?,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,79,therapist,0:09:49,Which you weren't aware of in Palmerston?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,80,client,0:09:51,No.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,81,therapist,0:09:52,Okay.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,82,client,0:09:52,"No. I didn't really know. I guess you see sort of things like that in-in movies from America you know, but you don't really-",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,83,therapist,0:10:01,Mm-hmm.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,84,client,0:10:01,#NAME?,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,85,therapist,0:10:06,Palmerston. Mm-hmm.,8,FALSE,,TRUE,simple,FALSE,,reflection,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,86,client,0:10:07,"Um, I don't mean to be mean about Palmy but, you know, it's just the different kinda attitude, I guess, kinda- this done-",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,87,therapist,0:10:13,Yeah.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,88,client,0:10:13,#NAME?,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,89,therapist,0:10:16,It sounds like you're ready to move up to something that was different.,8,FALSE,,TRUE,simple,FALSE,,reflection,,ref,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,90,client,0:10:19,Yes-,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,91,therapist,0:10:19,And-and you came-,8,FALSE,,TRUE,simple,FALSE,,reflection,,ref,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,92,client,0:10:20,-plus-,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,93,therapist,0:10:21,#NAME?,8,FALSE,,TRUE,simple,FALSE,,reflection,,ref,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,94,client,0:10:22,"Yeah, yeah. I definitely wanted to get away from something. I didn't know what too, but then I arrived here and found this thing that was like actually, this was obviously, fate or whatever was pulling me to this thing-",8,,,,,,,,sustain,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,95,therapist,0:10:35,Alright.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,96,client,0:10:35,-'cause-'cause like I found something in myself or something that was missing.,8,,,,,,,,sustain,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,97,therapist,0:10:44,And how does that feel for you now?,8,FALSE,,FALSE,,TRUE,open,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,98,client,0:10:46,"Um, now, I guess, now, I'm just a little used to it. [clears throat] When I first got here, I was like, ""Wow, this is amazing."" This is hard, I guess, but, you know, it's been three years now, so it's just kinda like I've gotten used to it.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,99,therapist,0:11:09,Mm-hmm.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,100,client,0:11:10,"I mean, I guess, I'm, let's say I take it for granted but, um, yes, it's just comfortable now. And, um, it's just a sort of what I do really. Yeah, so, I guess that the drugs are linked to that, I suppose. It's j-- Well, it's just a part of it, I don't really think-- I didn't really differentiate it. It's just kinda, ""Okay, I'm gonna go hang with my friends,"" and that sort of thing, you know, that Saturday, Friday night thing. And then it just happens really as part of that.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,101,therapist,0:11:46,"So coming out, feeling-- being gay-",8,FALSE,,TRUE,complex,FALSE,,reflection,,ref,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,102,client,0:11:49,Yep.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,103,therapist,0:11:49,"-being part of a gay culture here in Auckland, is feeling good-",8,FALSE,,TRUE,complex,FALSE,,reflection,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,104,client,0:11:53,Yeah.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,105,therapist,0:11:53,#NAME?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,106,client,0:11:54,Yeah.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,107,therapist,0:11:54,"And at the same time, it's-it's linked closely with the- with the drug scene with the meth scene for you?",8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,108,client,0:12:01,Yep.,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,109,therapist,0:12:03,And you're not experiencing where these two things are separate? They just seem to be together more often than not?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,110,client,0:12:16,"Well, I guess, now, that I think about it, maybe it's sort of gone beyond that, maybe I didn't notice that.",8,,,,,,,,change,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,111,therapist,0:12:35,So—,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,112,client,0:12:35,"I mean like I always-- Well, it's, you know it's kind of a thing that happens in the weekends but, I guess, sometimes in the weekdays. You know, I'll-I'll pretty much every weekend I'll have a big night, um, maybe two but sometimes, you know, in the weekdays like on a Tuesday or Wednesday or something if I just kinda feel like doing something then I might do that sometimes to see if someone else wants to come round and join me or, you know, occasionally by myself I might have a smoke by myself or something like that. And I guess that isn't entirely linked to that scene, I suppose.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,113,therapist,0:13:30,It just sounds like something's worrying you about that there's-there's a part link there but there's not a link and that-that maybe that the drugs is-is becoming a more important part in your life.,8,FALSE,,TRUE,complex,FALSE,,reflection,,sum,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,114,client,0:13:46,Mm. Maybe. I suppose I hadn't really thought about it-,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,115,therapist,0:13:59,Okay.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,116,client,0:13:59,#NAME?,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,117,therapist,0:14:02,So something's changed recently?,8,FALSE,,FALSE,,TRUE,closed,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,118,client,0:14:07,Yeah. I suppose just since that kind of intervention thing or I started to give them the benefit of the doubt. And it's-,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,119,therapist,0:14:16,Yeah.,8,FALSE,,FALSE,,FALSE,,other,,other,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,120,client,0:14:17,-maybe noticing some things that I hadn't noticed but—,8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,121,therapist,0:14:23,Tell me about those things you're noticing that you hadn't noticed before.,8,FALSE,,FALSE,,TRUE,open,question,,q,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,122,client,0:14:26,"Oh, I mean, e-even just now, you know, when you asked me how often.",8,,,,,,,,neutral,,
high,64,Ricky and Ian,https://www.youtube.com/watch?v=uH38Bxe3Lzw,reducing drug use,123,therapist,0:14:33,That surprised you?,8,FALSE,,FALSE,,TRUE,open,question,,q,
